Country,Year,Attack_Type,Target_Industry,Financial_Loss ,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_time ,Risk_score,Threat_level,Attack_severity
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,0.934882057,High,Critical
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,0.50580904,Medium,Moderate
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,0.639868446,Medium,Moderate
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,0.933685356,High,Critical
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,0.380883106,Medium,Critical
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,0.335769754,Medium,Moderate
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,0.327958327,Low,Moderate
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,0.232338162,Low,Moderate
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,0.64599359,Medium,Moderate
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,0.451967832,Medium,Low
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,0.447486338,Medium,Critical
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,0.604290499,Medium,Low
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,0.700277158,High,Moderate
India,2019,Man-in-the-Middle,Education,10.80,799474,Nation-state,Zero-day,AI-based Detection,23,0.315537335,Low,Critical
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,0.873645334,High,Critical
UK,2021,Malware,Healthcare,67.10,698852,Unknown,Weak Passwords,Antivirus,57,0.679479127,High,Moderate
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,0.626345424,Medium,Moderate
Brazil,2015,Phishing,Banking,43.40,191625,Hacker Group,Social Engineering,VPN,65,0.361338874,Medium,Low
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,0.681271038,High,Low
India,2019,Phishing,Healthcare,35.60,40718,Nation-state,Zero-day,VPN,24,0.261444783,Low,Low
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,0.392346134,Medium,Moderate
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,0.656409174,Medium,Moderate
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,0.633573492,Medium,Moderate
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,0.546332989,Medium,Low
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,0.714771029,High,Moderate
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,0.640160164,Medium,Moderate
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,0.678192062,High,Moderate
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,0.499550366,Medium,Critical
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,0.646894007,Medium,Critical
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,0.586900299,Medium,Critical
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,0.234319769,Low,Moderate
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,0.555884141,Medium,Low
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,0.340245252,Medium,Moderate
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,0.892991902,High,Critical
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,0.239045121,Low,Low
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,0.130149834,Low,Low
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,0.383496599,Medium,Critical
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,0.620619851,Medium,Moderate
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,0.128797411,Low,Moderate
France,2024,Phishing,Government,5.80,508649,Hacker Group,Unpatched Software,Firewall,66,0.193254478,Low,Moderate
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,0.714027375,High,Moderate
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,0.72556086,High,Critical
Germany,2016,Man-in-the-Middle,Healthcare,90.20,779494,Nation-state,Social Engineering,AI-based Detection,54,0.865396732,High,Critical
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,0.490837012,Medium,Moderate
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,0.468812547,Medium,Moderate
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,0.482868691,Medium,Moderate
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,0.277783718,Low,Low
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,0.153258015,Low,Low
India,2020,SQL Injection,Education,62.50,550656,Nation-state,Weak Passwords,Encryption,4,0.602800873,Medium,Moderate
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,0.672702095,Medium,Moderate
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,0.73318536,High,Moderate
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,0.554572443,Medium,Moderate
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,0.748778942,High,Moderate
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,0.297146257,Low,Critical
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,0.383236751,Medium,Low
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,0.648618927,Medium,Low
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,0.815537636,High,Moderate
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,0.644884386,Medium,Moderate
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,0.452797443,Medium,Critical
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,0.31264298,Low,Moderate
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,0.538996104,Medium,Critical
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,0.56893865,Medium,Low
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,0.691612272,High,Moderate
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,0.568495455,Medium,Low
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,0.370749393,Medium,Critical
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,0.867785582,High,Critical
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,0.351534324,Medium,Critical
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,0.149110625,Low,Moderate
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,0.751556206,High,Moderate
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,0.553774854,Medium,Low
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,0.278243913,Low,Moderate
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,0.197544214,Low,Low
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,0.735219512,High,Moderate
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,0.786485545,High,Critical
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,0.542994717,Medium,Moderate
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,0.86715666,High,Critical
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,0.105011549,Low,Low
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,0.603744676,Medium,Moderate
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,0.862774422,High,Critical
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,0.862372888,High,Critical
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,0.554400666,Medium,Moderate
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,0.361721751,Medium,Low
France,2021,Man-in-the-Middle,Retail,94.40,357092,Unknown,Unpatched Software,VPN,71,0.768032802,High,Moderate
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,0.805384168,High,Moderate
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,0.808715037,High,Moderate
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,0.603950626,Medium,Moderate
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,0.467407538,Medium,Moderate
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,0.567930931,Medium,Moderate
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,0.379640212,Medium,Low
France,2016,Phishing,Government,27.20,536925,Unknown,Zero-day,Encryption,62,0.351555357,Medium,Moderate
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,0.520051338,Medium,Low
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,0.281195486,Low,Low
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,0.64700289,Medium,Moderate
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,0.11045828,Low,Low
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,0.870735948,High,Critical
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,0.645032876,Medium,Low
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,0.292075533,Low,Moderate
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,0.546663484,Medium,Moderate
UK,2017,Man-in-the-Middle,Government,48.90,177154,Unknown,Zero-day,Antivirus,68,0.395499839,Medium,Low
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,0.489108885,Medium,Low
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,0.641380937,Medium,Low
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,0.377099011,Medium,Moderate
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,0.843718519,High,Critical
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,0.184042396,Low,Low
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,0.172399829,Low,Low
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,0.480824476,Medium,Moderate
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,0.638442304,Medium,Moderate
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,0.614914083,Medium,Critical
Brazil,2020,DDoS,Retail,17.40,342253,Unknown,Weak Passwords,Encryption,22,0.224525572,Low,Moderate
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,0.723311026,High,Moderate
USA,2018,Phishing,Banking,55.90,618616,Insider,Zero-day,VPN,51,0.576991697,Medium,Moderate
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,0.629772367,Medium,Critical
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,0.804100339,High,Critical
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,0.56916628,Medium,Low
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,0.281340899,Low,Critical
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,0.731967144,High,Low
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,0.498831556,Medium,Critical
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,0.234932067,Low,Moderate
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,0.739434207,High,Moderate
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,0.741519113,High,Moderate
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,0.272560867,Low,Low
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,0.569204152,Medium,Critical
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,0.798019958,High,Moderate
Germany,2022,SQL Injection,Retail,25.10,559667,Unknown,Zero-day,Antivirus,69,0.343678978,Medium,Moderate
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,0.571662258,Medium,Moderate
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,0.324902038,Low,Moderate
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,0.395292647,Medium,Critical
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,0.850427438,High,Moderate
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,0.315378319,Low,Moderate
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,0.45786026,Medium,Moderate
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,0.2729207,Low,Moderate
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,0.658200608,Medium,Moderate
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,0.587899928,Medium,Moderate
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,0.844125492,High,Critical
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,0.441466658,Medium,Critical
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,0.248406853,Low,Moderate
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,0.33231655,Low,Critical
UK,2020,SQL Injection,Healthcare,67.90,2233,Unknown,Social Engineering,Antivirus,45,0.476017679,Medium,Low
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,0.520930999,Medium,Low
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,0.095161755,Low,Low
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,0.860006059,High,Moderate
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,0.710467678,High,Moderate
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,0.160600338,Low,Low
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,0.264747831,Low,Critical
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,0.752187093,High,Moderate
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,0.566267138,Medium,Moderate
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,0.862895965,High,Critical
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,0.62639883,Medium,Moderate
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,0.367429575,Medium,Low
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,0.798174738,High,Critical
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,0.537057128,Medium,Moderate
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,0.701982636,High,Moderate
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,0.781513907,High,Moderate
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,0.633753407,Medium,Low
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,0.872298079,High,Critical
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,0.215684501,Low,Low
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,0.683043351,High,Critical
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,0.355961325,Medium,Low
China,2015,Man-in-the-Middle,Retail,47.20,529593,Hacker Group,Zero-day,VPN,64,0.489368955,Medium,Moderate
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,0.511599989,Medium,Moderate
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,0.273042887,Low,Critical
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,0.326784084,Low,Moderate
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,0.512883934,Medium,Low
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,0.747713348,High,Moderate
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,0.70070625,High,Low
Germany,2018,Phishing,Telecommunications,84.90,800031,Unknown,Unpatched Software,Encryption,10,0.834456371,High,Critical
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,0.775993167,High,Critical
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,0.777170166,High,Moderate
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,0.399313777,Medium,Critical
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,0.847047595,High,Critical
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,0.235791621,Low,Moderate
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,0.314674518,Low,Moderate
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,0.438634573,Medium,Moderate
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,0.783917138,High,Moderate
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,0.892736377,High,Moderate
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,0.327545963,Low,Moderate
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,0.081139916,Low,Low
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,0.724518375,High,Moderate
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,0.253957513,Low,Moderate
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,0.369179496,Medium,Moderate
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,0.779819608,High,Critical
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,0.54527969,Medium,Moderate
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,0.826584681,High,Critical
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,0.267146711,Low,Low
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19,0.638177252,Medium,Moderate
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,0.426654556,Medium,Critical
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14,0.18933465,Low,Low
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,0.724066481,High,Low
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,0.686919919,High,Moderate
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28,0.193841583,Low,Moderate
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,0.783430426,High,Critical
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,0.856064848,High,Moderate
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,0.250211696,Low,Moderate
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60,0.720154209,High,Critical
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,0.533397944,Medium,Moderate
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,0.618409544,Medium,Critical
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,0.416470951,Medium,Critical
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69,0.572969485,Medium,Moderate
